cuisine,zipcode,count
Italian,11106,114
Italian,11109,21
Italian,10104,27
Italian,10106,5
Italian,10112,16
Italian,10119,29
Italian,10121,6
Italian,10128,210
Italian,11694,17
Italian,11201,376
Italian,11204,87
Italian,11205,64
Italian,11206,25
Italian,11207,7
Italian,11209,169
Italian,11211,167
Italian,11214,68
Italian,11215,326
Italian,11217,152
Italian,11218,61
Italian,11219,37
Italian,11220,13
Italian,11221,54
Italian,11222,112
Italian,11223,128
Italian,11224,19
Italian,11225,1
Italian,11228,98
Italian,11229,20
Italian,11230,29
Italian,11231,121
Italian,11232,7
Italian,11233,24
Italian,11234,79
Italian,11235,40
Italian,11236,10
Italian,11237,45
Italian,11238,226
Italian,11239,26
Italian,11249,220
Cafe/Coffee/Tea,10155,1
Cafe/Coffee/Tea,11694,5
Cafe/Coffee/Tea,10270,12
Cafe/Coffee/Tea,10281,29
Cafe/Coffee/Tea,10282,12
Cafe/Coffee/Tea,10301,16
Cafe/Coffee/Tea,10302,2
Cafe/Coffee/Tea,10304,14
Cafe/Coffee/Tea,10305,13
Cafe/Coffee/Tea,10306,10
Cafe/Coffee/Tea,10307,10
Cafe/Coffee/Tea,10309,22
Cafe/Coffee/Tea,10310,24
Cafe/Coffee/Tea,10314,46
Cafe/Coffee/Tea,11354,180
Cafe/Coffee/Tea,11355,44
Cafe/Coffee/Tea,11356,10
Cafe/Coffee/Tea,11357,10
Cafe/Coffee/Tea,11358,122
Cafe/Coffee/Tea,11361,64
Cafe/Coffee/Tea,11362,23
Cafe/Coffee/Tea,11364,4
Cafe/Coffee/Tea,11365,15
Cafe/Coffee/Tea,11366,5
Cafe/Coffee/Tea,11368,61
Cafe/Coffee/Tea,11369,14
Cafe/Coffee/Tea,11372,70
Cafe/Coffee/Tea,11373,144
Cafe/Coffee/Tea,11374,15
Cafe/Coffee/Tea,11375,69
Cafe/Coffee/Tea,11377,98
Cafe/Coffee/Tea,11378,2
Cafe/Coffee/Tea,11379,24
Cafe/Coffee/Tea,11385,323
Cafe/Coffee/Tea,11414,16
Cafe/Coffee/Tea,11416,3
Cafe/Coffee/Tea,11418,15
Cafe/Coffee/Tea,11419,16
Cafe/Coffee/Tea,11421,3
Cafe/Coffee/Tea,11422,5
Cafe/Coffee/Tea,11426,5
Cafe/Coffee/Tea,11428,12
Cafe/Coffee/Tea,11430,135
Cafe/Coffee/Tea,11432,43
Cafe/Coffee/Tea,11433,15
Cafe/Coffee/Tea,11434,7
Cafe/Coffee/Tea,11435,5
Cafe/Coffee/Tea,10451,28
Cafe/Coffee/Tea,10454,8
Cafe/Coffee/Tea,10456,22
Cafe/Coffee/Tea,10457,37
Cafe/Coffee/Tea,10458,131
Cafe/Coffee/Tea,10460,5
Cafe/Coffee/Tea,10461,85
Cafe/Coffee/Tea,10462,88
Cafe/Coffee/Tea,10463,21
Cafe/Coffee/Tea,10464,32
Cafe/Coffee/Tea,10465,45
Cafe/Coffee/Tea,10467,25
Cafe/Coffee/Tea,10468,37
Cafe/Coffee/Tea,10469,36
Cafe/Coffee/Tea,10472,13
Cafe/Coffee/Tea,10474,29
Cafe/Coffee/Tea,10475,22
Cafe/Coffee/Tea,11004,8
Cafe/Coffee/Tea,10001,504
Cafe/Coffee/Tea,10002,483
Cafe/Coffee/Tea,10003,742
