camis,dba,boro,zipcode,cuisine,grade
41049808,WAGNER COLLEGE - MAIN DINING      HALL,STATEN ISLAND,10301,American,A
50071784,bluemist,BRONX,10462,Other,
50000479,IFC CENTER,MANHATTAN,10014,American,A
50071780,SUSHI & TOFU,QUEENS,11362,Asian,
50071781,,MANHATTAN,10030,Other,
50071782,MAD FOR CHICKEN,QUEENS,11354,Korean,A
50000473,JUAN BAR,QUEENS,11368,Mexican,
50074363,,BROOKLYN,11237,Other,
50074365,YURA,MANHATTAN,10128,Other,
50000477,STOCKED,BROOKLYN,11238,American,
50000474,CUE TIME BILLIARDS,STATEN ISLAND,10306,American,
50000475,E TAVERNA,QUEENS,11105,Greek,
40568880,PIER 72 RESTAURANT,MANHATTAN,10023,American,
41303343,LENG AUTHENTIC THAI ASIAN,QUEENS,11106,Thai,A
50072789,,BROOKLYN,11203,Other,
41604594,EL GALLITO RESTAURANT,BROOKLYN,11232,Mexican,
50037132,WALDORF ASTORIA NYC-SIR HARRY'S,MANHATTAN,10022,American,
50037137,FUNNY BBQ,MANHATTAN,10013,Chinese,A
50072781,DELIZIOSO,BROOKLYN,11210,Pizza/Italian,Not Yet Graded
41300926,CHIPOTLE MEXICAN GRILL,MANHATTAN,10016,Mexican,A
50072783,KING WAH,QUEENS,11412,Other,Not Yet Graded
50072785,DUNKIN DONUTS/BASKIN ROBBINS,BROOKLYN,11212,Donuts,A
50072786,PARRILLA LATINA STEAKHOUSE,BRONX,10455,Spanish,Not Yet Graded
41299074,THE DUB PIE SHOP,BROOKLYN,11215,Australian,
41627769,JOHNNY'S RESTAURANT BAR & LOUNGE,QUEENS,11417,Caribbean,
40592791,KRISPY PIZZA,BROOKLYN,11228,Pizza/Italian,
41627762,PICCOLINO,STATEN ISLAND,10308,Italian,A
50074099,FIVE GUYS BURGERS AND FRIES,STATEN ISLAND,10306,American,Not Yet Graded
50074098,,BROOKLYN,11229,Other,
50074096,Uncle Louie G Italian ices and ice cream,QUEENS,11693,Other,
50074095,IVA'S SWEET PARLOUR,BROOKLYN,11237,Cafe/Coffee/Tea,Not Yet Graded
50074093,ROSE HILL,MANHATTAN,10016,American,Not Yet Graded
40995563,LEGEND COOKHOUSE,QUEENS,11420,Caribbean,
40366425,NAOMI KOSHER PIZZA,QUEENS,11367,Jewish/Kosher,A
50070788,China City,BROOKLYN,11212,Chinese,A
41006331,THE ALHAMBRA BALL ROOM,MANHATTAN,10027,American,B
50070786,ROCKET ROLLS,QUEENS,11693,Japanese,Not Yet Graded
50070784,,BRONX,10451,Other,
41076499,EL CAFETAL BAKERY,QUEENS,11418,Bakery,A
41420999,GOURMET NEW YORK MARKET PLACE,MANHATTAN,10036,Delicatessen,
41693601,COTTO MARKET-GATE C30,QUEENS,11371,Bakery,A
50043424,CAFE COUSINA RESTAURANT,BRONX,10452,Continental,A
41584120,7 SPICES,BRONX,10469,Caribbean,A
41423719,Q CAFE (QUEENS COLLEGE),QUEENS,11367,Continental,
41410058,ANELLA,BROOKLYN,11222,Italian,A
41543919,CROQUE MADAME,QUEENS,11430,American,A
50001702,D'ANGELO'S PIZZA,QUEENS,11432,Pizza,
50001701,CHINA XIANG,MANHATTAN,10036,Asian,B
50001700,DARYL ROTH THEATRE,MANHATTAN,10003,American,A
41176118,VEZZO,MANHATTAN,10016,Pizza/Italian,B
50001704,NEW LIN WANG,BROOKLYN,11236,Chinese,A
50035805,HOAGIE'S HEROS,MANHATTAN,10128,Delicatessen,
50045295,TREEHOUSE,BROOKLYN,11216,Caribbean,
41392209,LA RIOJA RESTAURANT,QUEENS,11106,Spanish,
41641818,PANERA BREAD,MANHATTAN,10001,American,A
50071252,THE QUEENSBORO,QUEENS,11372,Other,
50051774,CENTRAL CAFE SENECA,QUEENS,11385,Cafe/Coffee/Tea,A
50071256,GUACUCO BED-STUY,BROOKLYN,11221,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Not Yet Graded
50071254,BLUE BOTTLE COFFEE,MANHATTAN,10165,Cafe/Coffee/Tea,C
41561944,HERBALIFE,BROOKLYN,11220,"Juice, Smoothies, Fruit Salads",A
50070120,ZARA CAFE GRILL,STATEN ISLAND,10306,Turkish,
50054828,THE NEW PIZZA PROFESSOR,BROOKLYN,11230,Other,A
50064654,ANPANMAN BAKERY CAFE,MANHATTAN,10002,Chinese,Z
50064650,SZECHUAN STORY,QUEENS,11354,Chinese,
40364863,SERENDIPITY 3,MANHATTAN,10022,American,A
41646896,CAFE KAFENEJA JONE LOUNGE,BROOKLYN,11223,Eastern European,
40393038,METROSTAR CAFE,BROOKLYN,11201,American,
41558375,PRET A MANGER,MANHATTAN,10017,American,A
41177247,EAT-A-BAGEL - BOAT SPIRIT OF AMERICA,MANHATTAN,10004,Bagels/Pretzels,A
50048844,PRESSED JUICERY,MANHATTAN,10025,"Bottled beverages, including water, sodas, juices, etc.",A
41221518,DOS CAMINOS THIRD,MANHATTAN,10022,Mexican,A
41072640,PARAISO AZTECA RESTAURANT & BAR,QUEENS,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
41106321,BARZOLA'S RESTAURANT III,QUEENS,11372,Spanish,A
40393787,DUNKIN' DONUTS,QUEENS,11385,Donuts,A
50006114,MALECON RESTAURANT,MANHATTAN,10033,Spanish,A
41205293,MR. TU BAKERY,QUEENS,11354,Bakery,A
41335328,MADINA RESTAURANT,BROOKLYN,11218,Indian,A
41566063,BIERHAUS,MANHATTAN,10017,German,
50065696,RUTA DEL SABOR,STATEN ISLAND,10310,Mexican,
41553994,CO CO LIN VEGETARIAN HOUSE,QUEENS,11385,Vegetarian,A
41553996,SOL DE QUITO RESTAURANT,BROOKLYN,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50062714,NEW PIZZA PLACE,QUEENS,11412,Pizza,A
41495114,THE NARROWS,BROOKLYN,11237,American,
50062711,THE HEART SOCIAL ADULT DAY CARE,BRONX,10462,Other,
41686184,OLI 99Â¢ FRESH PIZZA,BRONX,10453,Pizza,A
41234610,WHITMAN & BLOOM,MANHATTAN,10016,American,A
50068505,SERAFINA 105,MANHATTAN,10025,American,Not Yet Graded
41561490,TRUMP SOHO MAIN KITCHEN CAFETERIA,MANHATTAN,10013,American,A
50060624,BOBAMOSA,MANHATTAN,10128,Cafe/Coffee/Tea,
50060627,RED HOUSE ASIAN FUSION,QUEENS,11366,Asian,B
41228172,NATSUMI,MANHATTAN,10019,Japanese,
50060621,EDEN LOCAL,MANHATTAN,10036,American,B
50060623,SZECHUAN GARDEN,BROOKLYN,11204,Chinese,
41391795,DREXLER'S,MANHATTAN,10009,American,B
41305161,KENNEDY FRIED CHICKEN,BRONX,10455,American,A
41348754,GRILL ON LEE,BROOKLYN,11211,Jewish/Kosher,
41348755,FUH WAH RESTAURANT,BRONX,10455,Chinese,A
41597722,GOOD KITCHEN SEAFOOD RESTAURANT,QUEENS,11354,Chinese,A
41647764,PAN UGO BAKERY,QUEENS,11421,Bakery,A
41636680,FUNNY B.B.Q. BAR,BROOKLYN,11220,Chinese,
50071652,LA EXQUISITA,QUEENS,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
41481394,GRAMERCY GRILL,MANHATTAN,10010,American,A
41696569,METROPOLITAN MUSEUM BALCONY LOUNGE,MANHATTAN,10028,American,A
41611929,DOTORI (ON ROOSEVELT AVE),QUEENS,11354,Korean,A
50065297,SOUTH AMERICA RESTAURANT,BROOKLYN,11220,Tex-Mex,
50074159,CANTINE CATERING,BROOKLYN,11231,American,Not Yet Graded
41450361,FREDA'S,MANHATTAN,10025,Caribbean,
41450360,EL TEQUILERO BAR & RESTAURANT,BROOKLYN,11223,Mexican,
40401707,ORIENTAL PALACE KITCHEN,MANHATTAN,10029,Chinese,
41681860,MOONEY'S PUBLIC HOUSE,QUEENS,11379,Irish,A
41569560,DOMINO'S,BRONX,10469,Pizza,A
41595280,E & E Grill House,MANHATTAN,10019,American,
41561233,HANOI,BROOKLYN,11215,Asian,A
50063441,AVENA,MANHATTAN,10022,Italian,
50063442,FAT CAT KITCHEN,MANHATTAN,10003,American,
50063443,HUMMUS AND PITA CO,MANHATTAN,10003,Mediterranean,A
50015564,ST GEORGE TAVERN RESTAURANT & BAR,MANHATTAN,10006,Asian,
50063446,HUMMUS & PITA CO,MANHATTAN,10011,Mediterranean,A
50059762,Simply Hooked,MANHATTAN,10002,Other,
41702496,AUNTIE ANNE'S PRETZELS,BROOKLYN,11234,American,A
50059765,TACO HAN,QUEENS,11361,Tex-Mex,
41706130,CAFE ZONA SUR,BROOKLYN,11232,American,A
50059767,POESIE CAFE,QUEENS,11375,Cafe/Coffee/Tea,
41450097,NU HOTEL,BROOKLYN,11201,American,A
41221268,INTERNATIONAL COFFEE SHOP,QUEENS,11385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
41485255,TOASTIES CAFE,MANHATTAN,10022,Delicatessen,
41169478,STAR MOUNTAIN COFFEE,QUEENS,11430,American,
41677385,CAFE DE CUPPING,QUEENS,11354,Cafe/Coffee/Tea,
41400734,JOHN'S FAMOUS DELI,STATEN ISLAND,10302,Delicatessen,A
50063197,JUICE GENERATION,MANHATTAN,10018,"Juice, Smoothies, Fruit Salads",A
50063195,JOE COFFEE COMPANY,MANHATTAN,10018,Cafe/Coffee/Tea,A
50063198,KENNEDY FRIED CHICKEN,BRONX,10460,Chicken,
41680112,BERRYLICIOUS FROZEN YOGURT & COFFEE BAR,QUEENS,11367,"Ice Cream, Gelato, Yogurt, Ices",A
41493226,SKY ROOM,MANHATTAN,10018,American,
41569380,TAQUERIA GUADALUPE,MANHATTAN,10029,Mexican,A
41477315,MEL'S BURGER BAR,MANHATTAN,10025,Hamburgers,A
50069152,MAYAHUEL,MANHATTAN,10003,Other,
50067638,RED CORK,MANHATTAN,10019,American,A
50067637,SUSHI DAMO,MANHATTAN,10019,Japanese,A
41701679,JET BLUE CAFETERIA,QUEENS,11430,American,
50067635,CAFFEINE UNDERGROUND,BROOKLYN,11221,Cafe/Coffee/Tea,A
50067634,KEILLY CHINESE FOOD,QUEENS,11357,Chinese,A
50069857,PROOF COFFEE ROASTERS,MANHATTAN,10005,Cafe/Coffee/Tea,Not Yet Graded
50067631,CURRY-YA,MANHATTAN,10017,Japanese,A
50067630,THE GYRO SHOP,MANHATTAN,10016,Greek,
50052502,COMMUNITY DINING HALL AT MCKEON HALL FORDAM UNIV,MANHATTAN,10023,American,A
41126158,RICHMONDTOWN BAGEL DEPOT,STATEN ISLAND,10306,Bagels/Pretzels,A
41175262,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,11358,Donuts,C
41175260,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,11366,Donuts,
41175261,DUNKIN' DONUTS,QUEENS,11004,Donuts,A
50035946,VIETSPOT,MANHATTAN,10038,Asian,A
50035943,PARLAY,BROOKLYN,11232,American,B
41595491,JOLOFF,BROOKLYN,11216,African,A
50035941,NEW ISLAND GARDEN,STATEN ISLAND,10310,Chinese,A
41640801,VILLAGE GRILL,QUEENS,11375,Mediterranean,A
40998924,SUGAR SWEET SUNSHINE,MANHATTAN,10002,Bakery,A
40538189,EDWARD'S,MANHATTAN,10013,American,A
40892252,ERNST & YOUNG CAFE,MANHATTAN,10036,American,
50042501,MIMI,MANHATTAN,10012,French,
41365614,MANSIONS CATERING,MANHATTAN,10011,American,A
50056699,El Penacho Restaurant,BROOKLYN,11204,Mexican,
41489737,PATSY'S PIZZERIA,MANHATTAN,10065,Italian,A
50008422,LITTLE CAESARS,QUEENS,11691,Pizza,
41227008,AGAINST THE GRAIN,MANHATTAN,10009,American,A
40390547,STAGE DOOR DELI,MANHATTAN,10007,Delicatessen,
40937528,GARIBALDI DELI RESTAURANT,STATEN ISLAND,10304,Mexican,
50012658,STEAK & SIZZLE,BROOKLYN,11218,Jewish/Kosher,
40673089,SEAN OG,QUEENS,11377,American,A
50012650,LOS POBLANOS RESTAURANT,BROOKLYN,11232,Spanish,B
50065904,BARROW STREET ALE HOUSE,MANHATTAN,10014,American,A
50060360,VIVI BUBBLE TEA,MANHATTAN,10003,Cafe/Coffee/Tea,
40703795,STARBUCKS,MANHATTAN,10019,Cafe/Coffee/Tea,A
50060363,CIAO,BROOKLYN,11204,Pizza/Italian,A
41215188,DE MOLE,QUEENS,11377,Mexican,A
40703791,STARBUCKS,MANHATTAN,10112,Cafe/Coffee/Tea,A
50010248,CAFE GRUMPY,MANHATTAN,10017,Cafe/Coffee/Tea,A
41057918,FARMER SPORTS & SOCIAL CLUB,QUEENS,11412,Caribbean,A
50017026,WOK TO WALK,MANHATTAN,10003,Thai,
50017020,ORA DI PASTA,MANHATTAN,10019,Italian,
50018035,STARBUCKS,QUEENS,11354,Cafe/Coffee/Tea,A
50017029,RANDAZZO'S PIZZERIA,BROOKLYN,11218,Pizza,A
50009480,ROBATAYA,MANHATTAN,10003,Japanese,A
50009481,HOME 2 SUITES BY HILTON,QUEENS,11101,American,A
50009487,LA BELLA PIZZA,QUEENS,11385,Pizza,
40608102,KEBAB HOUSE,QUEENS,11362,Turkish,A
50016378,CARMA ASIAN TAPAS,MANHATTAN,10014,Asian,A
41435782,LACONIA PIZZERIA,BRONX,10466,Pizza/Italian,
40398899,KNAPP ST PIZZA II,BROOKLYN,11223,Pizza,
40571082,NATIONAL ARTS CLUB,MANHATTAN,10003,American,
40571081,ARCHER SPORTS BAR,BRONX,10462,American,
41579661,DUNKIN' DONUTS,BRONX,10465,Donuts,A
41222982,BONJUK,QUEENS,11354,Korean,
41633665,THE BEAN,MANHATTAN,10003,Cafe/Coffee/Tea,A
40369983,THE DART INN,QUEENS,11432,American,
41377598,L.A. BURRITO,BROOKLYN,11237,Tex-Mex,
40423364,HOLTERMANN'S BAKERY,STATEN ISLAND,10308,Bakery,A
50002709,CANTEEN CAFE,MANHATTAN,10007,American,A
50002702,BO'S KITCHEN & BAR ROOM,MANHATTAN,10010,American,
50002703,VINO LEVANTINO,MANHATTAN,10025,Mediterranean,A
50002701,JENNY COFFEE SHOP #2,BROOKLYN,11213,Spanish,
41257727,PAPA JOHN'S,STATEN ISLAND,10302,Pizza,
41094546,PEOPLES CHOICE KITCHEN,MANHATTAN,10039,Caribbean,
50017683,MAISON KAYSER,MANHATTAN,10028,Bakery,A
50017684,UNION BANK OF SWITZERLAND,MANHATTAN,10019,American,A
41633599,NEW PEKING KITCHEN,BROOKLYN,11230,Chinese,A
50017686,MAISON KAYSER,MANHATTAN,10024,Bakery,A
40368581,MARIES CRISIS CAFE,MANHATTAN,10014,American,A
41705779,BAKERY ST MARC,BROOKLYN,11226,Bakery,
41576522,EL NUEVO VALLE #2 RESTAURANT LECHONERA,BRONX,10460,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
40369675,WHITE CASTLE,QUEENS,11104,Hamburgers,A
50005951,HOUSE OF INASAL,QUEENS,11377,Filipino,A
50005957,BLACK HOLE CAFE,QUEENS,11354,Korean,
41675816,MACARON,MANHATTAN,10017,American,A
41577696,OLDE BROOKLYN BAGEL SHOPPE,BROOKLYN,11238,American,
41360734,GEE WHIZ,MANHATTAN,10007,American,
40815185,CONSTANTINES DELI,QUEENS,11364,Delicatessen,
41623317,PRONTO PIZZA,STATEN ISLAND,10309,Pizza/Italian,B
40944072,SUPERFINE,BROOKLYN,11201,American,A
50017976,TROPICAL TWIST BAKERY & RESTAURANT,BROOKLYN,11226,Caribbean,A
41146015,STARBUCKS,MANHATTAN,10019,Cafe/Coffee/Tea,A
50017974,PASTELES CAPY,BROOKLYN,11237,Bakery,A
50017972,A TO Z CATERING,QUEENS,11411,Caribbean,A
50017970,SPICE,MANHATTAN,10025,Thai,
40861252,SWEET & VICIOUS,MANHATTAN,10012,American,A
50017978,HOLIDAY COCKTAIL LOUNGE,MANHATTAN,10003,American,
50016080,DDM YUPDDUK,MANHATTAN,10001,Korean,
41431202,FEITENG CHINESE TAKE OUT KITCHEN,BROOKLYN,11231,Chinese,A
50016082,PRONTO PIZZA PASTA,STATEN ISLAND,10305,Pizza/Italian,A
41713537,DUNKIN' DONUTS,QUEENS,11691,Donuts,A
50011531,TERRAZA 7 TRAIN CAFE,QUEENS,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41713533,DUNKIN' DONUTS,QUEENS,11692,Donuts,A
41287651,GRAND SICHUAN HOUSE,BROOKLYN,11209,Chinese,
41678996,FLAVAS INTERNATIONAL GRILL,BRONX,10451,Caribbean,A
41678997,CHIPOTLE MEXICAN GRILL,MANHATTAN,10007,Tex-Mex,A
41336495,MAMA SUSHI,MANHATTAN,10034,Japanese,A
50046997,SOBA NOODLE AZUMA,MANHATTAN,10019,Japanese,
50003079,BARILLA RESTAURANTS,MANHATTAN,10104,Italian,
50003078,THE ROOF,MANHATTAN,10019,American,A
40904248,FUEL,BROOKLYN,11209,American,
50038736,DON NICO'S,QUEENS,11432,Mexican,
50003072,HARMONY TERRACE,QUEENS,11104,Armenian,A
50038734,DIVINE CREATION COFFEE,QUEENS,11430,Cafe/Coffee/Tea,
50003077,LAURA'S PIZZA,BRONX,10463,Italian,
50038733,HERO SHOP,BROOKLYN,11230,American,
50046999,KENEDY CHICKEN & GRILLS,BROOKLYN,11213,Other,A
41296070,TIMMY'S BY THE RIVER,MANHATTAN,10128,American,A
50047029,3 BROS 99 CENT PIZZA,QUEENS,11102,Pizza,
40756020,LA GROTTA RISTORANTE,QUEENS,11362,Italian,A
50047025,10BELOW ICE CREAM,QUEENS,11354,"Ice Cream, Gelato, Yogurt, Ices",
50047023,FOO AN CHINESE RESTAURANT,QUEENS,11413,Chinese,A
50045058,DRAFT KING,MANHATTAN,10121,American,A
41459208,CHELSEA BAGEL & CAFE,MANHATTAN,10011,American,A
41024174,CAMARADAS EL BARRIO,MANHATTAN,10029,Polynesian,A
41443633,LUCKY'S FAMOUS BURGERS,MANHATTAN,10011,Hamburgers,A
40396053,CHICK-N-RIBS,BRONX,10462,Chicken,
41203533,GREAT TASTE BAKERY,MANHATTAN,10038,Bakery,B
41539256,WINGSTOP,QUEENS,11103,Chicken,
41688500,40/40 CLUB BAR,BROOKLYN,11217,American,
41113339,FAMOUS ORIGINAL RAY'S PIZZA,MANHATTAN,10011,Pizza,
50066347,IZAKAYA IDA,MANHATTAN,10023,Japanese,A
50062458,NY BAKERY CAFE,QUEENS,11102,Bakery,B
50062459,FLIPPIN CHICKEN,BROOKLYN,11217,American,A
50052865,PRINTERS ALLEY,MANHATTAN,10018,American,
50052863,HANOVER GOURMET DELI,MANHATTAN,10004,Sandwiches/Salads/Mixed Buffet,
50062450,CAFE 21 (entrance is between 60TH & 61st Street on Hudson),MANHATTAN,10023,American,Not Yet Graded
50012131,OLIVIA'S RESTAURANT & LOUNGE,BRONX,10472,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
